LumaViewPro Protocol
Period	0.1
Duration	1.2
Labware	1536 well microplate
Name	X	Y	Z	Auto_Focus	Channel	False_Color	Illumination	Gain	Auto_Gain	Exposure
	60.999651199999995	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	63.249651199999995	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	65.49965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	67.74965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	69.99965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	72.24965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	74.49965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	76.74965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	78.99965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	81.24965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	83.49965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	85.74965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	87.99965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	90.24965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	92.49965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	94.74965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	96.99965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	99.24965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	101.49965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	103.74965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	105.99965119999999	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	108.2496512	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	110.4996512	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	112.7496512	50.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	112.7496512	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	110.4996512	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	108.2496512	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	105.99965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	103.74965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	101.49965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	99.24965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	96.99965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	94.74965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	92.49965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	90.24965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	87.99965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	85.74965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	83.49965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	81.24965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	78.99965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	76.74965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	74.49965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	72.24965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	69.99965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	67.74965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	65.49965119999999	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	63.249651199999995	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	60.999651199999995	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	58.74965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	56.49965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	54.24965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	51.99965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	49.74965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	47.49965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	45.24965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	42.99965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	40.74965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	38.49965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	36.24965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	33.99965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	31.74965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	29.49965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	27.24965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	24.99965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	22.74965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	20.49965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	18.24965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	15.99965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	13.74965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	11.49965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	9.24965120000001	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	6.999651200000009	48.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	6.999651200000009	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	9.24965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	11.49965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	13.74965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	15.99965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	18.24965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	20.49965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	22.74965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	24.99965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	27.24965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	29.49965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	31.74965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	33.99965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	36.24965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	38.49965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	40.74965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	42.99965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	45.24965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	47.49965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	49.74965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	51.99965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	54.24965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	56.49965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	58.74965120000001	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	60.999651199999995	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	63.249651199999995	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	65.49965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	67.74965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	69.99965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	72.24965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	74.49965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	76.74965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	78.99965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	81.24965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	83.49965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	85.74965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	87.99965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	90.24965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	92.49965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	94.74965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	96.99965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	99.24965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	101.49965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	103.74965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	105.99965119999999	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	108.2496512	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	110.4996512	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	112.7496512	45.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	112.7496512	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	110.4996512	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	108.2496512	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	105.99965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	103.74965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	101.49965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	99.24965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	96.99965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	94.74965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	92.49965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	90.24965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	87.99965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	85.74965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	83.49965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	81.24965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	78.99965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	76.74965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	74.49965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	72.24965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	69.99965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	67.74965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	65.49965119999999	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	63.249651199999995	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	60.999651199999995	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	58.74965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	56.49965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	54.24965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	51.99965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	49.74965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	47.49965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	45.24965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	42.99965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	40.74965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	38.49965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	36.24965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	33.99965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	31.74965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	29.49965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	27.24965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	24.99965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	22.74965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	20.49965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	18.24965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	15.99965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	13.74965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	11.49965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	9.24965120000001	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	6.999651200000009	43.7495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	6.999651200000009	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	9.24965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	11.49965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	13.74965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	15.99965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	18.24965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	20.49965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	22.74965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	24.99965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	27.24965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	29.49965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	31.74965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	33.99965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	36.24965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	38.49965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	40.74965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	42.99965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	45.24965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	47.49965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	49.74965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	51.99965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	54.24965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	56.49965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	58.74965120000001	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	60.999651199999995	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	63.249651199999995	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	65.49965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	67.74965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	69.99965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	72.24965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	74.49965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	76.74965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	78.99965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	81.24965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	83.49965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	85.74965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	87.99965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	90.24965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	92.49965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	94.74965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	96.99965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	99.24965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	101.49965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	103.74965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	105.99965119999999	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	108.2496512	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	110.4996512	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	112.7496512	41.4995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	112.7496512	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	110.4996512	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	108.2496512	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	105.99965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	103.74965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	101.49965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	99.24965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	96.99965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	94.74965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	92.49965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	90.24965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	87.99965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	85.74965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	83.49965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	81.24965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	78.99965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	76.74965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	74.49965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	72.24965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	69.99965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	67.74965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	65.49965119999999	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	63.249651199999995	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	60.999651199999995	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	58.74965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	56.49965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	54.24965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	51.99965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	49.74965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	47.49965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	45.24965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	42.99965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	40.74965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	38.49965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	36.24965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	33.99965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	31.74965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	29.49965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	27.24965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	24.99965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	22.74965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	20.49965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	18.24965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	15.99965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	13.74965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	11.49965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	9.24965120000001	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	6.999651200000009	39.2495488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	6.999651200000009	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	9.24965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	11.49965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	13.74965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	15.99965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	18.24965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	20.49965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	22.74965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	24.99965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	27.24965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	29.49965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	31.74965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	33.99965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	36.24965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	38.49965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	40.74965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	42.99965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	45.24965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	47.49965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
	49.74965120000001	36.9995488	5519.39336	0.0	1.0	1.0	265.0	20.0	0.0	100.0
